Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,16/12/00,Mouscron,Louvieroise,0,0,D,0,0,D,1.3,4.5,7.5,1.25,4.3,8,1.29,4.33,8,1.25,4.7,8
B1,17/12/00,Genk,Club Brugge,0,1,A,0,1,A,4.2,3.8,1.6,3.9,3.2,1.65,4.2,3.6,1.62,4,3.4,1.72
B1,20/12/00,Anderlecht,St Truiden,3,2,H,0,2,A,1.12,6.5,12,1.15,5.5,11,1.17,5.25,11,1.1,6.8,12
B1,20/12/00,Antwerp,Westerlo,1,3,A,1,1,D,2.3,3.3,2.6,2.35,3,2.35,2.25,3.2,2.63,2.2,3.4,2.55
B1,20/12/00,Charleroi,Beveren,5,0,H,3,0,H,1.65,3.6,4,1.6,3.3,4,1.62,3.5,4.33,1.65,3.55,4
B1,20/12/00,Germinal,Mouscron,4,1,H,2,0,H,2.25,3.5,2.5,2.3,3.1,2.3,2.3,3.2,2.6,,,
B1,20/12/00,Genk,Mechelen,3,1,H,1,0,H,1.55,3.6,4.7,1.5,3.4,4.7,1.57,3.5,4.75,1.65,3.6,3.9
B1,20/12/00,Lierse,Aalst,2,0,H,2,0,H,1.45,3.5,7,1.45,3.5,5,1.44,3.75,5.75,1.45,3.75,5.5
B1,20/12/00,Lokeren,Louvieroise,3,1,H,0,0,D,1.35,4,8,1.4,3.6,5.5,1.4,3.75,6.5,1.4,3.9,6
B1,20/12/00,Standard,Harelbeke,3,0,H,1,0,H,1.15,6,12,1.2,4.7,9,1.2,5,10,1.15,6,10
B1,19/01/01,Club Brugge,Mouscron,2,2,D,1,1,D,1.25,4.5,8.5,1.25,4.3,8,1.25,4.6,8.5,1.3,4.5,7
B1,20/01/01,Beveren,Antwerp,2,1,H,2,1,H,2.05,2.9,3.2,2,2.9,3,2,3.4,2.9,2,3.5,2.9
B1,20/01/01,Germinal,Lokeren,2,0,H,0,0,D,1.9,3.1,3.5,1.85,3,3.3,1.83,3.4,3.4,1.8,3.5,3.4
B1,20/01/01,Mechelen,Gent,3,3,D,0,3,A,3.2,2.8,2.1,2.8,3,2.1,3.2,3.1,2,2.75,3.4,2.1
B1,20/01/01,Louvieroise,Standard,0,4,A,0,2,A,4.2,3.3,1.65,3.6,3.2,1.7,3.8,3.4,1.73,3.8,3.5,1.7
B1,20/01/01,Lierse,St Truiden,2,1,H,0,0,D,1.47,3.4,6,1.35,3.8,6.2,1.44,3.75,5.75,1.45,3.75,5.5
B1,21/01/01,Aalst,Genk,4,2,H,1,2,A,2.3,3.2,2.6,2.35,3,2.35,2.38,3.2,2.5,2.35,3.3,2.45
B1,21/01/01,Harelbeke,Charleroi,1,0,H,0,0,D,3.4,2.8,2.1,3.1,3,1.9,2.88,3.5,2,2.6,3.5,2.15
B1,27/01/01,Gent,Aalst,1,0,H,1,0,H,1.35,4,7,1.35,3.8,6.2,1.36,4,6.75,1.35,4,7
B1,27/01/01,Antwerp,Charleroi,1,1,D,1,0,H,2.18,3.35,2.65,2.2,3,2.6,2.2,3.4,2.6,2.25,3.4,2.5
B1,27/01/01,Beveren,Anderlecht,1,3,A,0,2,A,4.8,3.6,1.55,4.2,3.2,1.6,4.5,3.6,1.57,4.6,3.65,1.55
B1,27/01/01,Genk,St Truiden,3,0,H,0,0,D,1.55,3.6,4.75,1.55,3.3,4.5,1.57,3.5,4.75,1.55,3.6,4.7
B1,27/01/01,Lierse,Westerlo,1,2,A,1,0,H,2,3.1,3.25,2,2.9,3,1.91,3.4,3.2,1.9,3.5,3.1
